iter	CrossEntropy
0	0.3535546626
1	0.2897568849
2	0.275126978
3	0.2701574417
4	0.2660119825
5	0.2653454735
6	0.2621065677
7	0.2620092041
8	0.2602135943
9	0.2582956486
10	0.2562717014
11	0.2546252931
12	0.2533579303
13	0.2514661118
14	0.2495546164
15	0.2481786022
16	0.2468110901
17	0.2454085701
18	0.2439926507
19	0.2428587806
20	0.2419290613
21	0.2405609138
22	0.2389858359
23	0.2379052511
24	0.2369987792
25	0.2359084601
26	0.2349403642
27	0.2339123217
28	0.2324711997
29	0.2316835337
30	0.2307359915
31	0.2297635714
32	0.2284501713
33	0.22760736
34	0.2265448376
35	0.2254578501
36	0.2242202562
37	0.2231785534
38	0.2221445828
39	0.2212986027
40	0.2200693955
41	0.2191617999
42	0.2183922564
43	0.217435082
44	0.2164055283
45	0.2154836412
46	0.214278491
47	0.2132539841
48	0.2124266322
49	0.2114546642
50	0.210838734
51	0.2096155031
52	0.2085159965
53	0.2075385342
54	0.2066972805
55	0.2053628639
56	0.2043275535
57	0.2033699064
58	0.2025206348
59	0.2015201535
60	0.2003135236
61	0.1994316965
62	0.1987977411
63	0.1981178706
64	0.1973891905
65	0.1965478886
66	0.1958632744
67	0.194940058
68	0.1942787406
69	0.1934546484
70	0.1926506798
71	0.1918200454
72	0.1911483398
73	0.1904899259
74	0.189753997
75	0.1890580203
76	0.1884019069
77	0.1876213318
78	0.1869717365
79	0.1864132552
80	0.1858438203
81	0.1851271792
82	0.1843224821
83	0.1836479475
84	0.1828483733
85	0.182015655
86	0.1813827292
87	0.1810017107
88	0.1804500347
89	0.1797222875
90	0.1788452524
91	0.1778605544
92	0.1770917235
93	0.1765773243
94	0.1760783756
95	0.1751556302
96	0.174585117
97	0.1740965257
98	0.1735965948
99	0.1730843856
100	0.1727126907
101	0.1721272954
102	0.1715414858
103	0.1709064423
104	0.170045023
105	0.1692554624
106	0.1688223108
107	0.1683796748
108	0.1678166352
109	0.1672939914
110	0.1667656497
111	0.1662847318
112	0.165676194
113	0.1652054158
114	0.1645863453
115	0.1639987851
116	0.1635626817
117	0.1630527847
118	0.1625955062
119	0.1622009873
120	0.1616589877
121	0.1612402959
122	0.1607052332
123	0.160252545
124	0.1597163913
125	0.159152481
126	0.1585407782
127	0.1581554932
128	0.1576493885
129	0.157014501
130	0.1565238063
131	0.1558737796
132	0.1551286841
133	0.1547487584
134	0.1543266289
135	0.153960508
136	0.1533749414
137	0.1529984901
138	0.1525179571
139	0.1521584638
140	0.1518421633
141	0.1512931393
142	0.1508233892
143	0.1505287184
144	0.15008791
145	0.1495480163
146	0.1491072798
147	0.1486685653
148	0.1483162867
149	0.1479164815
150	0.1473597291
151	0.1468118837
152	0.1462720221
153	0.145849299
154	0.1455054385
155	0.1449228927
156	0.144503189
157	0.1442252387
158	0.1436367437
159	0.1432101666
160	0.1426758543
161	0.1420835226
162	0.1416599365
163	0.1412593309
164	0.140780901
165	0.1403188104
166	0.1398896743
167	0.1394156074
168	0.1391385796
169	0.1385793472
170	0.1381493316
171	0.1378120118
172	0.1374239114
173	0.1369110522
174	0.1365006091
175	0.1360488291
176	0.135710186
177	0.135405371
178	0.1349236808
179	0.1345463503
180	0.1340356021
181	0.133668353
182	0.1332387514
183	0.1328573035
184	0.1324017136
185	0.1320049351
