iter	Passed	Remaining
0	1200	1162927
1	1237	599093
2	2268	731185
3	2315	559120
4	4365	842487
5	4402	707259
6	5440	748424
7	5451	655560
8	6781	724098
9	8138	781323
10	9040	788147
11	9864	787502
12	10610	781065
13	11331	773772
14	11994	763620
15	12703	757452
16	13427	752722
17	14063	743796
18	14750	738299
19	15441	733488
20	16074	726426
21	16772	722720
22	17474	719488
23	18121	714294
24	18812	711100
25	19578	710849
26	20380	711807
27	21173	712327
28	22038	715098
29	22854	716115
30	23784	720444
31	24475	717446
32	25133	713629
33	25787	709919
34	26509	708178
35	27172	704972
36	27829	701745
37	28550	700230
38	29282	699014
39	29944	696214
40	30644	694358
41	31346	692599
42	31988	689622
43	32715	688503
44	33429	687159
45	34056	684097
46	34739	682224
47	35458	681105
48	36319	682657
49	37210	684665
50	38191	688196
51	39056	689489
52	40008	692216
53	40794	691998
54	41514	690650
55	42204	688841
56	42891	687020
57	43640	686209
58	44305	684103
59	44953	681798
60	45643	680157
61	46311	678233
62	46962	676109
63	47669	674828
64	48361	673339
65	49011	671312
66	49682	669602
67	50413	668724
68	51087	667096
69	51882	667058
70	52592	665926
71	53452	666675
72	54298	667198
73	55060	666679
74	55826	666192
75	56515	664796
76	57191	663269
77	57841	661470
78	58560	660478
79	59250	659166
80	59879	657200
81	60593	656183
82	61472	656937
83	62227	656346
84	63157	657581
85	64114	659039
86	64897	658673
87	65648	657972
88	66421	657495
89	67144	656519
90	68008	656917
91	68805	656648
92	69713	657405
93	70614	658071
94	71437	657975
95	72219	657496
96	73037	657336
97	73812	656777
98	74581	656169
99	75344	655500
100	76067	654483
101	76759	653208
102	77449	651929
103	78181	651011
104	78890	649907
105	79586	648703
106	80299	647648
107	81021	646674
108	81710	645434
109	82441	644539
110	83145	643444
111	83960	643199
112	84733	642623
113	85599	642746
114	86511	643195
115	87373	643251
116	88105	642342
117	88781	641034
118	89539	640322
119	90339	639906
120	91061	638937
121	91785	637981
122	92543	637273
123	93305	636584
124	94027	635623
125	94769	634802
126	95525	634079
127	96344	633768
128	97065	632809
129	97821	632079
